site_no,facility_id,generator_id,registration_no,full_address,street_address,city,zipcode,stack_height,generation_budget_mw,generation_budget_method,generation_budget_source_id,pm25_budget_lb_per_hour,pm25_budget_method,pm25_budget_source_id,pm25_lb_per_mwh,pm25_factor_method,pm25_factor_source_id,observed_capacity_mw,observed_pm25_budget_lb_per_hour,observed_pm25_lb_per_mwh,imputation_tier,is_assumption,is_upper_bound,source_url,local_pdf_path,notes,generation_budget_mwh,lon,lat,geocode_match,geocode_match_type,geocode_address,matrix_index,region_id
VA_DEQ_11541_SITE_01,deq_va_deq_11541_site_01,deq_va_deq_11541_site_01_gensets,11541,"Technology Park Drive, at the Regional Business Technology Park in Lebanon, Russell County, Virginia 24266","Technology Park Drive, at the Regional Business Technology Park",Lebanon,24266,15m,17.8315789473,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.255707762557,imputed_from_pm10_budget_conservative_upper_bound,deq_permit_11541,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/11541-3_Northrop_Grumman_Systems_Corporation.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,17.8315789473,-82.1053973,36.8670787,True,zip_centroid_approx,ZCTA centroid 24266,639,area_pop_000639
VA_DEQ_11790_SITE_01,deq_va_deq_11790_site_01,deq_va_deq_11790_site_01_gensets,11790,5978 Windswept Blvd Wise Virginia,5978 Windswept Blvd,Wise,24293,15m,56.9973684209,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.817351598174,imputed_global_median_pm25_budget,global_median_pm25_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/11790-1_DP_Facilities_Inc_South_LLC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,56.9973684209,-82.526258670654,36.976248100142,True,Exact,"5978 WINDSWEPT BLVD, WISE, VA, 24293",733,area_pop_000733
VA_DEQ_21527_SITE_01,deq_va_deq_21527_site_01,deq_va_deq_21527_site_01_gensets,21527,101 Herbert Drive Boydton VA 23917,101 Herbert Drive,Boydton,23917,15m,279.8,extracted_generator_capacity_mw,deq_permit_21527,2.28310502283,permit_extracted_pm25_budget,deq_permit_21527,0.00815977492076,permit_pm25_budget_divided_by_extracted_capacity,deq_permit_21527,279.8,2.28310502283,0.00815977492076,0,False,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/21527-15_Microsoft_Corporation_-_East_Coast_Data_Center.pdf,All headline PM2.5 values are directly permit-derived from extracted budget and capacity.,279.8,-78.3412475,36.6237844,True,zip_centroid_approx,ZCTA centroid 23917,105,area_pop_000105
VA_DEQ_30142_SITE_01,deq_va_deq_30142_site_01,deq_va_deq_30142_site_01_gensets,30142,250 Burlington Drive Clarksville VA 23927,250 Burlington Drive,Clarksville,23927,15m,56.9973684209,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.817351598174,imputed_global_median_pm25_budget,global_median_pm25_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/30142-3_TECfusions_Clarksville_LLC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,56.9973684209,-78.549838661319,36.601755378806,True,Exact,"250 BURLINGTON DR, CLARKSVILLE, VA, 23927",17,area_pop_000017
VA_DEQ_41064_SITE_01,deq_va_deq_41064_site_01,deq_va_deq_41064_site_01_gensets,41064,18155 Technology Drive Culpeper VA 22701,18155 Technology Drive,Culpeper,22701,15m,854.960526314,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,12.2602739726,imputed_from_pm10_budget_conservative_upper_bound,deq_permit_41064,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,"data/raw/deq/pdfs/41064-8_Equinix,_LLC_-_CU_1-4.pdf",At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,854.960526314,-77.9963146,38.4403435,True,zip_centroid_approx,ZCTA centroid 22701,2274,area_pop_002274
VA_DEQ_51232_SITE_01,deq_va_deq_51232_site_01,deq_va_deq_51232_site_01_gensets,51232,6000 Technology Boulevard Sandston Virginia,6000 Technology Boulevard,Sandston,23150,15m,60.4999999999,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.867579908676,permit_extracted_pm25_budget,deq_permit_51232,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.867579908676,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/51232-16_QTS_Richmond_Data_Center.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,60.4999999999,-77.2539888,37.5071516,True,zip_centroid_approx,ZCTA centroid 23150,1517,area_pop_001517
VA_DEQ_52173_SITE_01,deq_va_deq_52173_site_01,deq_va_deq_52173_site_01_gensets,52173,11751 Meadowville Lane Chester Virginia 23836,11751 Meadowville Lane,Chester,23836,15m,56.9973684209,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.817351598174,imputed_global_median_pm25_budget,global_median_pm25_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/52173-1_11751_Meadowville_Owner_LLC_c_o_GFH_Capital_Ltd.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,56.9973684209,-77.331345590188,37.363577414213,True,Exact,"11751 MEADOWVILLE LN, CHESTER, VA, 23836",1281,area_pop_001281
VA_DEQ_52221_SITE_01,deq_va_deq_52221_site_01,deq_va_deq_52221_site_01_gensets,52221,8011 Villa Park Drive Richmond Virginia 23228,8011 Villa Park Drive,Richmond,23228,15m,9.55263157893,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.13698630137,imputed_from_pm10_budget_conservative_upper_bound,deq_permit_52221,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/52221-9_Bank_of_America_-_Villa_Park_Drive.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,9.55263157893,-77.463741908393,37.628403250036,True,Exact,"8011 VILLA PARK DR, RICHMOND, VA, 23228",1638,area_pop_001638
VA_DEQ_52281_SITE_01,deq_va_deq_52281_site_01,deq_va_deq_52281_site_01_gensets,52281,"4871 Cox Road Glen Allen, VA 23060",4871 Cox Road,Glen Allen,23060,15m,56.9973684209,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.817351598174,imputed_global_median_pm25_budget,global_median_pm25_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/52281-10_Capital_One_Services_Incorporated.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,56.9973684209,-77.568293981141,37.669387851577,True,Exact,"4871 COX RD, GLEN ALLEN, VA, 23060",1659,area_pop_001659
VA_DEQ_52299_SITE_01,deq_va_deq_52299_site_01,deq_va_deq_52299_site_01_gensets,52299,8851 - B Park Central Drive Richmond VA 23227,8851 - B Park Central Drive,Richmond,23227,15m,9.55263157893,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.13698630137,imputed_city_median_pm10_budget_conservative_upper_bound,city_median_pm10_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/52299-3_Peak_10_Incorporated.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,9.55263157893,-77.440958916144,37.647534855221,True,Non_Exact,"8851 PARK CENTRAL DR, RICHMOND, VA, 23227",1650,area_pop_001650
